date,close
20-May-15,1142
21-May-15,3730
22-May-15,5886
23-May-15,9712
24-May-15,10782
25-May-15,7496
26-May-15,7556
27-May-15,5009
28-May-15,6523
29-May-15,7001
30-May-15,11548
31-May-15,18837
1-Jun-15,10106
2-Jun-15,9930
3-Jun-15,6198
6-Jun-15,11014
7-Jun-15,12614
8-Jun-15,9310
9-Jun-15,8547
10-Jun-15,6725
11-Jun-15,12941
12-Jun-15,5069
13-Jun-15,13177
14-Jun-15,5435
15-Jun-15,8928
16-Jun-15,8510
17-Jun-15,6815
18-Jun-15,4901
19-Jun-15,7943
20-Jun-15,17189
21-Jun-15,15640
22-Jun-15,13515
23-Jun-15,7629
24-Jun-15,6122
25-Jun-15,4830
26-Jun-15,6670
27-Jun-15,15129
28-Jun-15,5407
29-Jun-15,9379
30-Jun-15,5063
1-Jul-15,11187
2-Jul-15,6583
3-Jul-15,9323
4-Jul-15,8423
5-Jul-15,13140
6-Jul-15,16832
7-Jul-15,12475
8-Jul-15,1826
9-Jul-15,9102
10-Jul-15,22156
11-Jul-15,12574
12-Jul-15,15408
13-Jul-15,10496
14-Jul-15,4856
15-Jul-15,19004
16-Jul-15,8823
17-Jul-15,17051
18-Jul-15,6450
19-Jul-15,20158
20-Jul-15,18620
21-Jul-15,8373
22-Jul-15,7571
23-Jul-15,7034
24-Jul-15,6399
25-Jul-15,7335
26-Jul-15,13589
27-Jul-15,13168
28-Jul-15,6513
29-Jul-15,5295
30-Jul-15,8024
31-Jul-15,4253
1-Aug-15,7536
2-Aug-15,16379
3-Aug-15,6024
4-Aug-15,9367
5-Aug-15,7296
6-Aug-15,7407
7-Aug-15,9221
8-Aug-15,7640
9-Aug-15,16406
10-Aug-15,10595
11-Aug-15,9846
12-Aug-15,9455
13-Aug-15,6389
14-Aug-15,4376
15-Aug-15,6430
16-Aug-15,10000
17-Aug-15,3074
18-Aug-15,19816
19-Aug-15,12923
20-Aug-15,8488
21-Aug-15,8651
22-Aug-15,11748
23-Aug-15,19441
24-Aug-15,10307
25-Aug-15,5962
26-Aug-15,6563
27-Aug-15,13686
28-Aug-15,8423
29-Aug-15,13096
30-Aug-15,12785
31-Aug-15,9783
1-Sep-15,6761
2-Sep-15,6938
3-Sep-15,8943
4-Sep-15,7514
5-Sep-15,10906
6-Sep-15,31337
7-Sep-15,17281
8-Sep-15,12112
9-Sep-15,12413
10-Sep-15,11819
11-Sep-15,9620
12-Sep-15,5220
13-Sep-15,17162
14-Sep-15,8054
15-Sep-15,8411
16-Sep-15,10163
17-Sep-15,24772
18-Sep-15,19318
19-Sep-15,16288
20-Sep-15,9410
21-Sep-15,14666
22-Sep-15,8023
23-Sep-15,5037
24-Sep-15,6628
25-Sep-15,6360
26-Sep-15,7950
27-Sep-15,6716
28-Sep-15,9415
29-Sep-15,11207
30-Sep-15,13499
1-Oct-15,14230
2-Oct-15,4954
3-Oct-15,10191
4-Oct-15,33299
5-Oct-15,16391
6-Oct-15,18342
7-Oct-15,14280
