date,close
20-May-15,7
21-May-15,3
22-May-15,4
23-May-15,7
24-May-15,8
25-May-15,5
26-May-15,5
27-May-15,3
28-May-15,4
29-May-15,5
30-May-15,8
31-May-15,13
1-Jun-15,7
2-Jun-15,7
3-Jun-15,4
6-Jun-15,11
7-Jun-15,9
8-Jun-15,6
9-Jun-15,6
10-Jun-15,4
11-Jun-15,9
12-Jun-15,3
13-Jun-15,9
14-Jun-15,3
15-Jun-15,13
16-Jun-15,6
17-Jun-15,5
18-Jun-15,3
19-Jun-15,5
20-Jun-15,12
21-Jun-15,11
22-Jun-15,9
23-Jun-15,5
24-Jun-15,4
25-Jun-15,3
26-Jun-15,4
27-Jun-15,12
28-Jun-15,4
29-Jun-15,6
30-Jun-15,3
1-Jul-15,7
2-Jul-15,4
3-Jul-15,6
4-Jul-15,5
5-Jul-15,13
6-Jul-15,11
7-Jul-15,9
8-Jul-15,1
9-Jul-15,6
10-Jul-15,16
11-Jul-15,9
12-Jul-15,11
13-Jul-15,7
14-Jul-15,3
15-Jul-15,13
16-Jul-15,6
17-Jul-15,12
18-Jul-15,4
19-Jul-15,14
20-Jul-15,13
21-Jul-15,5
22-Jul-15,5
23-Jul-15,6
24-Jul-15,4
25-Jul-15,5
26-Jul-15,10
27-Jul-15,9
28-Jul-15,4
29-Jul-15,3
30-Jul-15,5
31-Jul-15,3
1-Aug-15,6
2-Aug-15,11
3-Aug-15,4
4-Aug-15,6
5-Aug-15,5
6-Aug-15,5
7-Aug-15,6
8-Aug-15,5
9-Aug-15,11
10-Aug-15,7
11-Aug-15,7
12-Aug-15,6
13-Aug-15,4
14-Aug-15,3
15-Aug-15,4
16-Aug-15,7
17-Aug-15,2
18-Aug-15,14
19-Aug-15,9
20-Aug-15,6
21-Aug-15,6
22-Aug-15,8
23-Aug-15,13
24-Aug-15,7
25-Aug-15,4
26-Aug-15,4
27-Aug-15,20
28-Aug-15,5
29-Aug-15,9
30-Aug-15,9
31-Aug-15,7
1-Sep-15,4
2-Sep-15,4
3-Sep-15,6
4-Sep-15,5
5-Sep-15,12
6-Sep-15,22
7-Sep-15,12
8-Sep-15,8
9-Sep-15,8
10-Sep-15,8
11-Sep-15,6
12-Sep-15,3
13-Sep-15,12
14-Sep-15,7
15-Sep-15,6
16-Sep-15,7
17-Sep-15,17
18-Sep-15,13
19-Sep-15,11
20-Sep-15,6
21-Sep-15,10
22-Sep-15,6
23-Sep-15,5
24-Sep-15,5
25-Sep-15,4
26-Sep-15,5
27-Sep-15,4
28-Sep-15,6
29-Sep-15,7
30-Sep-15,9
1-Oct-15,10
2-Oct-15,3
3-Oct-15,7
4-Oct-15,23
5-Oct-15,11
6-Oct-15,13
7-Oct-15,10
8-Oct-15,5
9-Oct-15,9
10-Oct-15,11
11-Oct-15,4
12-Oct-15,12
13-Oct-15,5
14-Oct-15,4
15-Oct-15,6
16-Oct-15,6
17-Oct-15,8
18-Oct-15,10
19-Oct-15,12
20-Oct-15,5
21-Oct-15,5
22-Oct-15,4
23-Oct-15,4
24-Oct-15,11
25-Oct-15,8
26-Oct-15,9
27-Oct-15,5
28-Oct-15,6
29-Oct-15,3
30-Oct-15,4
31-Oct-15,12
1-Nov-15,11
